Id,SalePrice
1461,138027.25
1462,133477.5
1463,202830.88
1464,248968.19
1465,188126.56
1466,184787.4
1467,193199.5
1468,198796.26166666663
1469,235880.76
1470,135538.5
1471,210202.0
1472,89921.33
1473,181858.46
1474,132693.0
1475,96511.04
1476,320907.59
1477,246135.3
1478,320274.85
1479,296638.95
1480,421504.46
1481,299299.78
1482,207086.5
1483,187970.68
1484,177699.3
1485,207765.47666666668
1486,184126.96666666665
1487,185898.0
1488,244343.28
1489,200549.3
1490,275074.39
1491,193117.5
1492,132627.0
1493,137376.5
1494,271362.0
1495,242278.38
1496,279691.31
1497,193217.89333333337
1498,158355.61
1499,158198.018
1500,184539.41
1501,333266.52
1502,208691.36
1503,258224.18
1504,219063.0
1505,233372.77
1506,137099.64
1507,249770.12
1508,164402.37
1509,134105.0
1510,150849.5
1511,146187.5
1512,160074.0
1513,128961.68
1514,116405.92
1515,221029.92
1516,159168.0
1517,203531.5
1518,120844.5
1519,246057.28
1520,131673.64
1521,138040.0
1522,158485.0
1523,106616.68
1524,118539.04
1525,131308.5
1526,130173.75
1527,121926.2
1528,111270.6
1529,129562.0
1530,184611.0
1531,198167.5
1532,117695.5
1533,126627.49
1534,97313.5
1535,159666.79
1536,118253.83
1537,137157.79
1538,122308.53
1539,134180.0
1540,130467.98
1541,119266.61
1542,103762.72
1543,216388.5
1544,102584.58
1545,111302.0
1546,136327.5
1547,104490.7
1548,102745.58
1549,100053.0
1550,159451.5
1551,153134.0
1552,157648.08
1553,118287.5
1554,111820.7
1555,187209.87
1556,117819.46
1557,100442.0
1558,112107.25
1559,94319.5
1560,155475.04
1561,114576.5
1562,126825.12
1563,123150.34
1564,177432.11
1565,189640.5
1566,182649.97
1567,117682.0
1568,171262.61
1569,183595.0
1570,174857.14
1571,132654.75
1572,135666.5
1573,228426.69
1574,122355.91
1575,212667.0
1576,245064.08
1577,220357.13
1578,108999.0
1579,238930.9
1580,188094.5
1581,116120.25
1582,128820.03
1583,256337.13
1584,186284.3
1585,201649.0
1586,94751.75
1587,115009.0
1588,143427.85
1589,120775.04
1590,127472.92
1591,97966.53
1592,184639.05
1593,166030.29
1594,144608.4
1595,125032.0
1596,188903.0
1597,141569.5
1598,222315.36
1599,202818.0
1600,183524.37
1601,101869.82
1602,109047.25
1603,135541.71
1604,294572.4
1605,230398.78
1606,146004.5
1607,120790.4
1608,237009.02
